ip	ip to	countryCode	regionCode	city	latitude	longitude
172.22.57.1	172.22.57.254	PE	15	CAC_Angamos	-12.112292	-77.05487
172.22.77.1	172.22.77.254	PE	15	CAC_Aviacion	-12.10934228	-77.00073976
172.22.86.1	172.22.86.254	PE	15	CAC_Chorrillos	-12.172987	-77.01298
172.22.71.1	172.22.71.254	PE	15	CAC_Jockey Plaza	-12.084696	-76.976789
172.22.81.1	172.22.81.254	PE	15	CAC_La Molina	-12.090862	-76.950796
172.22.68.2	172.22.68.254	PE	15	CAC_Larco	-12.1238	-77.029437
172.22.29.1	172.22.29.254	PE	15	CAC_Atocongo Mall Del Sur	-12.1542945	-76.9852275
172.22.41.1	172.22.41.254	PE	15	CAC_Rivera Navarrete	-12.09468372	-77.02673582
172.22.58.1	172.22.58.254	PE	15	CAC_Santa Clara	-12.02504	-76.917425
172.22.10.1	172.22.10.254	PE	15	CAC_Centro Civico	-12.056493	-77.036746
172.22.64.1	172.22.64.254	PE	15	CAC_Megaplaza	-11.985392	-77.048664
172.22.21.1	172.22.21.254	PE	15	CAC_Minka	-12.05738814	-77.11311414
172.22.3.1	172.22.3.0	PE	15	CAC_Plaza Lima Norte	-12.005925	-77.059676
172.22.17.1	172.22.17.254	PE	15	CAC_Salaverry	-12.08962	-77.05314
172.22.46.1	172.22.46.254	PE	15	CAC_San Miguel	-12.07619	-77.082857
172.22.40.1	172.22.40.254	PE	15	CAC_Santa Anita	-12.057032	-76.971502
172.22.43.1	172.22.43.254	PE	15	CAC_Unicachi	-11.9402	-77.07027
172.22.72.1	172.22.72.254	PE	15	CAC_Mall San Juan de Lurigancho	-12.02711065	-77.00582241
172.22.4.1	172.22.4.0	PE	15	CAC_Begonias	-12.096002	-77.026176
172.22.31.1	172.22.31.254	PE	6	CAC_Cajamarca 01 El Quinde	-7.148949	-78.509148
172.22.33.1	172.22.33.254	PE	14	CAC_Chiclayo 01 (Real Plaza)	-6.779523	-79.832926
172.22.37.1	172.22.37.254	PE	14	CAC_Chiclayo 03 Elías Aguirre	-6.7718248	-79.8387883
172.22.56.1	172.22.56.254	PE	2	CAC_Chimbote 01	-9.07245042	-78.58893076
172.22.98.129	172.22.98.190	PE	2	CAC_Chimbote 02	-9.067024	-78.577657
172.22.45.1	172.22.45.254	PE	2	CAC_Huaraz	-9.527544	-77.528581
172.22.25.1	172.22.25.254	PE	20	CAC_Piura Real Plaza	-5.187052	-80.624255
172.22.60.1	172.22.60.254	PE	20	CAC_Piura Open Plaza	-5.19351	-80.62508
172.22.55.1	172.22.55.254	PE	20	CAC_Piura Sanchez Cerro	-12.07025243	-77.03192146
172.22.13.1	172.22.13.254	PE	13	CAC_Trujillo 1	-8.1105	-79.02934
172.22.39.1	172.22.39.254	PE	13	CAC_Trujillo 2 Real Plaza	-8.102611	-79.047875
172.22.42.1	172.22.42.254	PE	13	CAC_Trujillo 3 Mall Plaza	-8.132192	-79.032276
172.22.53.1	172.22.53.254	PE	24	CAC_Tumbes	-3.570657	-80.460005
172.22.91.1	172.22.91.254	PE	4	CAC_Arequipa 01 Yanahuara	-16.390753	-71.545798
172.22.38.1	172.22.38.254	PE	8	CAC_Cusco 1	-16.375956	-71.557098
172.22.62.1	172.22.62.254	PE	8	CAC_Cusco 2 (San Andres)	-13.523082	-71.974292
172.22.84.1	172.22.84.254	PE	8	CAC_Cusco 05	-13.52041088	-71.97845716
